hogar,rol,horizonte_min,estrategia,rmse,mae,mape,r2,n
18,train,15,baseline_media_hora_dia,447.7110959353384,218.02575820416996,48.38335918479597,0.1171147302879607,103432
18,train,60,baseline_persistencia,593.3347437371729,260.0228329014503,54.93261895511918,-0.5662075915110039,103085
18,train,60,baseline_media_hora_dia,447.7936001540146,218.0514577628996,48.38375627599974,0.1171482265323998,103387
18,train,1440,baseline_persistencia,617.9292844556555,294.65783974229873,66.13627454503194,-0.6941306815961616,96185
18,train,1440,baseline_media_hora_dia,449.1862343110137,218.6642173923569,48.44453673673753,0.1161794417290761,102007
19,train,15,baseline_persistencia,391.710248186955,121.80100729687372,34.45676007502496,-0.4339468708024008,100440
19,train,15,baseline_media_hora_dia,318.35253414462,147.75142297684545,53.99259373952616,0.052147518104372,100530
19,train,60,baseline_persistencia,443.0443260081536,160.9999158173083,50.831309986454976,-0.8304066516972022,100125
19,train,60,baseline_media_hora_dia,318.39804160327526,147.75155137499482,54.00029195457962,0.0522074237713116,100485
19,train,1440,baseline_persistencia,443.1971657374432,170.18201435566348,56.85555243254561,-0.8201903198391574,91834
19,train,1440,baseline_media_hora_dia,318.7814355933549,147.8011617728108,54.17013725193441,0.05238735813754,99105
20,train,15,baseline_persistencia,523.6178749172487,213.17618094809092,58.584080048732254,-0.4249503709131192,99578
20,train,15,baseline_media_hora_dia,411.1768765166102,199.06868721789007,64.9836868416575,0.1210394162795235,99653
20,train,60,baseline_persistencia,573.7283080018839,253.3901059344257,72.40621765266975,-0.7077782522899905,99353
20,train,60,baseline_media_hora_dia,411.1768765166102,199.06868721789007,64.9836868416575,0.1210394162795235,99653
20,train,1440,baseline_persistencia,581.867749310151,256.17102583309355,76.88662702467248,-0.7205600280285993,92453
20,train,1440,baseline_media_hora_dia,411.2548514907765,199.03890917579244,64.94569515252132,0.1211723869605126,99532
21,train,15,baseline_persistencia,465.6901164105606,179.36928096322123,36.690507875071454,0.64240642930809,110417
21,train,15,baseline_media_hora_dia,863.1975519078396,681.7840728743192,95.12647712657292,-0.2286549158813491,110521
21,train,60,baseline_persistencia,545.3954517448224,245.75560061269425,56.92558776046295,0.5093198574515732,110192
21,train,60,baseline_media_hora_dia,863.1975519078396,681.7840728743192,95.12647712657292,-0.2286549158813491,110521
21,train,1440,baseline_persistencia,617.2973337326885,293.8463110976801,66.07806851848335,0.3711277493322944,104658
21,train,1440,baseline_media_hora_dia,863.1975519078396,681.7840728743192,95.12647712657292,-0.2286549158813491,110521
2,validacion_externa,15,baseline_persistencia,1292.6618075288695,407.5557729368828,85.33290902729071,-0.446895127767078,152979
